Header Information_RECTYPE,TABLE,TABLE_NUMBER,TABLE_DESCRIPTION,SECTION,SECTION_DESCRIPTION,PART,PART_DESCRIPTION,ORDER,Variable Information_RECTYPE,VARIABLE_NAME,VARIABLE_DESCRIPTION,START_POSITION,FORMAT,CHANGE,CHANGE_TYPE
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,QYEAR,"Year and quarter of the interview, for use in matching to the other files
 CODED
 20121  2012, 1st quarter
 20122  2012, 2nd quarter
 20123  2012, 3rd quarter
 20124  2012, 4th quarter
 20131  2013, 1st quarter
 BLS derived",1,CHAR(5),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL3_,"
",64,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL4,"Same as MJAPPL1, but contains the fourth item mentioned
 CAPI Section 6
",65,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL4_,"
",68,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL5,"Same as MJAPPL1, but contains the fifth item mentioned
 CAPI Section 6
",69,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL5_,"
",72,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL6,"Same as MJAPPL1, but contains the sixth item mentioned
 CAPI Section 6
",73,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL6_,"
",76,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL7,"Same as MJAPPL1, but contains the seventh item mentioned
 CAPI Section 6
",77,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL7_,"
",80,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL8,"Same as MJAPPL1, but contains the eighth item mentioned
 CAPI Section 6
",81,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL8_,"
",84,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL9,"Same as MJAPPL1, but contains the ninth item mentioned
 CAPI Section 6
",85,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL9_,"
",88,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,QYEAR,"Year and quarter of the interview, for use in matching to the other files
 CODED
 20121  2012, 1st quarter
 20122  2012, 2nd quarter
 20123  2012, 3rd quarter
 20124  2012, 4th quarter
 20131  2013, 1st quarter
 BLS derived",1,CHAR(5)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,NEWID,"CU identification number.  Digits 1-7 (CU sequence number, 1 through 9999999) uniquely identify the CU.  Digit 8 is the interview number, 2 through 5.
 It is possible for a CU to skip an interview.  For example, a CU could have a 2nd, 3rd and 5th interview but no 4th interview.
Values of NEWID contain a leading zero. Therefore it will appear the NEWIDs are 7 numbers long, when they are in fact 8 numbers.
 BLS derived",6,NUM(8)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,SEQNO,"Sequence number, uniquely identifies each EXPN record based on order of entries on survey questionnaire
 BLS derived
",14,NUM(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,ALCNO,"Allocation number, field in common to all rows.  Identifies rows that are the result of allocation.  If ALCNO is greater than zero then the observation is a result of allocation. ALCNO can be used in conjunction with SEQNO to derive a value which has been allocated and written over with the flag H (see the notes under ""ALLOCATION AND RECORD ORIGIN"" for
 instructions).
 BLS derived
",17,NUM(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,REC_ORIG,"Describes the origin of the record, field in common to all records (see ""ALLOCATION AND RECORD ORIGIN"" for the codes and their descriptions).
 BLS derived
",20,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MINAPPLY,"Item code
CODED
230 Small electrical kitchen appliances
240 Electric personal care appliances
250 Smoke detectors
260 Electric floor cleaning equipment
270 Other household appliances
280 Sewing machines
300 Photographic equipment
310 Lawnmowing machinery and other yard equipment
320 Power tools
330 Non-power tools
340 Window air conditioners
350 Portable cooling and heating equipment
365 Television, all types, including combinations of TV with DVD/video player
390 DVD players, VCRs, digital video recorders (DVRs), or video cameras
395 Handheld personal music players
400 Radio, all types
420 Tape recorders and players
430 Sound components, component systems and compact disc sound systems
440 Other sound and video equipment, including accessories
460 Musical instruments, supplies, and accessories
470 General Sports Equipment (exclude athletic shoes for sports-related use, such as football, baseball, soccer, or bowling)
480 Health and Exercise Equipment
490 Camping Equipment
500 Huntin",21,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MINA_PLY,"
",24,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,GFTCMIN,"Was this item purchased for own use, rented, or purchased as gift to others?
 CODED
 1  Purchased for own use
 2  Rented
 3  Purchased for someone outside your CU
 CAPI Section 6
",25,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,GFTCMIN_,"
",26,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MIN_MO,"When did you purchase it?
 CODED
 01-12 January-December
 CAPI Section 6
",27,CHAR(2)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MIN_MO_,"
",29,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MINPURX,"What did this item cost?  (Include delivery charges, exclude installation charges)
 CAPI Section 6
",30,NUM(6)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MINPURX_,"
",36,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MINRENTX,"What was the total rental expense since the 1st of (month, 3 months ago), excluding the current month?  (GFTCMIN = 2 only)?
 CAPI Section 6
",37,NUM(6)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MINR_NTX,"
",43,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL1,"If MINAPPLY = 900, then MNAPPL1 will contain the first code mentioned of the multiple items indicated in MINAPPLY
CODED
230 Small electrical kitchen appliances
240 Electric personal care appliances
250 Smoke detectors
260 Electric floor cleaning equipment
270 Other household appliances
280 Sewing machines
300 Photographic equipment
310 Lawnmowing machinery and other yard equipment
320 Power tools
330 Non-power tools
340 Window air conditioners
350 Portable cooling and heating equipment
365 Television, all types, including combinations of TV with DVD/video player
390 DVD players, VCRs, digital video recorders (DVRs), or video cameras
395 Handheld personal music players
400 Radio, all types
420 Tape recorders and players
430 Sound components, component systems and compact disc sound systems
440 Other sound and video equipment, including accessories
460 Musical instruments, supplies, and accessories
470 General Sports Equipment (include athletic shoes for sports related use)
480 Health a",44,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL1_,"
",47,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL2,"Same as MNAPPL1, but contains the second item mentioned
 CAPI Section 6
",48,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL2_,"
",51,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL3,"Same as MNAPPL1, but contains the third item mentioned
 CAPI Section 6
",52,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL3_,"
",55,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL4,"Same as MNAPPL1, but contains the fourth item mentioned
 CAPI Section 6
",56,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL4_,"
",59,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL5,"Same as MNAPPL1, but contains the fifth item mentioned
 CAPI Section 6
",60,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL5_,"
",63,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL6,"Same as MNAPPL1, but contains the sixth item mentioned
 CAPI Section 6
",64,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL6_,"
",67,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL7,"Same as MNAPPL1, but contains the seventh item mentioned
 CAPI Section 6
",68,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL7_,"
",71,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL8,"Same as MNAPPL1, but contains the eighth item mentioned
 CAPI Section 6
",72,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL8_,"
",75,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL9,"Same as MNAPPL1, but contains the ninth item mentioned
 CAPI Section 6
",76,CHAR(3)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,MNAPPL9_,"
",79,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,INSTLSCR,"Were there any additional charges for installation, set-up, or delivery?  (only asked for codes 365, 430, 440, 640, 670)
1 - Yes
2 - No",80,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,INST_SCR,,81,CHAR(1)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,INSTLLEX,"Cost of Installation
(only asked for item codes 365, 430, 440, 640, 670)",82,NUM(8)
EAPB,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",B,"Appliances, Household Equipment and Other Selected Items",25,EAPB,INST_LEX,,90,CHAR(1)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,QYEAR,"Year and quarter of the interview, for use in matching to the other files
 CODED
 20121  2012, 1st quarter
 20122  2012, 2nd quarter
 20123  2012, 3rd quarter
 20124  2012, 4th quarter
 20131  2013, 1st quarter
 BLS derived",1,CHAR(5)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,NEWID,"CU identification number.  Digits 1-7 (CU sequence number, 1 through 9999999) uniquely identify the CU.  Digit 8 is the interview number, 2 through 5.
 It is possible for a CU to skip an interview.  For example, a CU could have a 2nd, 3rd and 5th interview but no 4th interview.
Values of NEWID contain a leading zero. Therefore it will appear the NEWIDs are 7 numbers long, when they are in fact 8 numbers.
 BLS derived",6,NUM(8)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,SEQNO,"Sequence number, uniquely identifies each EXPN record based on order of entries on survey questionnaire
 BLS derived
",14,NUM(3)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,ALCNO,"Allocation number, field in common to all rows.  Identifies rows that are the result of allocation.  If ALCNO is greater than zero then the observation is a result of allocation. ALCNO can be used in conjunction with SEQNO to derive a value which has been allocated and written over with the flag H (see the notes under ""ALLOCATION AND RECORD ORIGIN"" for
 instructions).
 BLS derived
",17,NUM(3)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,REC_ORIG,"Describes the origin of the record, field in common to all records (see ""ALLOCATION AND RECORD ORIGIN"" for the codes and their descriptions).
 BLS derived
",20,CHAR(1)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,MAJCODE,"Does your CU have any of the following appliances?   CODED
 01  Cooking stove, range, or oven
 03  Microwave oven
 05  Refrigerator
 06  Home freezer
 07  Built-in dishwasher
 08  Portable dishwasher
 09  Garbage disposal
 10  Clothes washer
 11  Clothes dryer
 12  Television
 13  Home computers
 14  Stereo or sound systems
 15  VCRs, DVD players or digital video recorders
 BLS derived",21,CHAR(2)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,MAJCODE_,"
",23,CHAR(1)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,MAJAPPLQ,"How many of each appliance?
 CAPI Section 1
",24,NUM(2)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,MAJA_PLQ,"
",26,CHAR(1)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,INCLHOME,"Included in the home when you moved in?
 1  Units only)ED
 01  Cooking stove, ",39,CHAR(1)
EAPL,EXPN,6,Detailed Expenditures Files,1,General Survey Information,C,Major Household Appliances (For new Consumer Units only),11,EAPL,INCL_OME,"
",40,CHAR(1)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,QYEAR,"Year and quarter of the interview, for use in matching to the other files
 CODED
 20121  2012, 1st quarter
 20122  2012, 2nd quarter
 20123  2012, 3rd quarter
 20124  2012, 4th quarter
 20131  2013, 1st quarter
 BLS derived",1,CHAR(5)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,NEWID,"CU identification number.  Digits 1-7 (CU sequence number, 1 through 9999999) uniquely identify the CU.  Digit 8 is the interview number, 2 through 5.
 It is possible for a CU to skip an interview.  For example, a CU could have a 2nd, 3rd and 5th interview but no 4th interview.
Values of NEWID contain a leading zero. Therefore it will appear the NEWIDs are 7 numbers long, when they are in fact 8 numbers.
 BLS derived",6,NUM(8)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,SEQNO,"Sequence number, uniquely identifies each EXPN record based on order of entries on survey questionnaire
 BLS derived
",14,NUM(3)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,ALCNO,"Allocation number, field in common to all rows.  Identifies rows that are the result of allocation.  If ALCNO is greater than zero then the observation is a result of allocation. ALCNO can be used in conjunction with SEQNO to derive a value which has been allocated and written over with the flag H (see the notes under ""ALLOCATION AND RECORD ORIGIN"" for
 instructions).
 BLS derived
",17,NUM(3)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,REC_ORIG,"Describes the origin of the record, field in common to all records (see ""ALLOCATION AND RECORD ORIGIN"" for the codes and their descriptions).
 BLS derived
",20,CHAR(1)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,CLOTHYA,"Item code
 CODED
 100  Coats, jackets, and furs
 110  Sport coats and tailored jackets
 120  Suits
 130  Vests
 140 Sweaters and sweater sets
 150  Pants, jeans, or shorts
 170 Dresses
 180  Skirts
 190  Shirts, blouses and tops
 200  Undergarments
 210  Hosiery
 220  Nightwear and loungewear
 230  Accessories
 240  Swimsuits, or warm-up or ski suits
 250  Uniforms (for which cost is not reimbursed)   
 260  Costumes
 270  Combined clothing (100-260)
 275  Combined pants/slacks/jeans and shirts/blouses/tops (150, 190)
 280  Footwear including athletic footwear
 310  Diapers
 330  Layettes
 331  Bedroom Linens
 332  Bathroom Linens
 370  Watches
 380  Jewlery
 900  Combined expense (any item in section/part)
CAPI Section 9",21,CHAR(3)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,CLOTHYA_,,24,CHAR(1)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,CLOTHMOA,"In what month did you purchase it?
 CAPI Section 9
",30,CHAR(2)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,CLOT_MOA,"
",32,CHAR(1)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,CLOTHXA,"How much did it cost?
 CAPI Section 9
",33,NUM(6)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,CLOTHXA_,"
",39,CHAR(1)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,AGE_SEXA,"Age/sex code of person for whom clothing item was purchased CODED
 1  Male, 16 and over
 2  Female, 16 and over
 3  Male, 2 through 15
 4  Female, 2 through 15
 5  Infant under 2 years
 BLS derived
",40,CHAR(1)
ECLA,EXPN,6,Detailed Expenditures Files,9,Clothing and Sewing Materials,A,Clothing,29,ECLA,AGE__EXA,"
",41,CHAR(1)
